Unnamed: 0,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
31,Fortnight (feat. Post Malone),The Tortured Poets Department,2024-04-18,1,2OzhQlSqBEmt7hmkYxfT6m,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,0.502,0.504,0.386,1.53e-05,0.0961,-10.976,0.0308,192.004,0.281,91,228965
32,The Tortured Poets Department,The Tortured Poets Department,2024-04-18,2,3NMrVbIVWT3fPXBj0rNDKG,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,0.0483,0.604,0.428,0.0,0.126,-8.441,0.0255,110.259,0.292,75,293048
33,My Boy Only Breaks His Favorite Toys,The Tortured Poets Department,2024-04-18,3,2XXwLdtuAcE0HSCu61ijAb,spotify:track:2XXwLdtuAcE0HSCu61ijAb,0.137,0.596,0.563,0.0,0.302,-7.362,0.0269,97.073,0.481,77,203801
34,Down Bad,The Tortured Poets Department,2024-04-18,4,2F3N9tdombb64aW6VtZOdo,spotify:track:2F3N9tdombb64aW6VtZOdo,0.56,0.541,0.366,1e-06,0.0946,-10.412,0.0748,159.707,0.168,82,261228
35,"So Long, London",The Tortured Poets Department,2024-04-18,5,3Vevii7qKqrmW8CcyzBHDl,spotify:track:3Vevii7qKqrmW8CcyzBHDl,0.73,0.423,0.533,0.00264,0.0816,-11.388,0.322,160.218,0.248,78,262974
36,But Daddy I Love Him,The Tortured Poets Department,2024-04-18,6,5og4Qzt92jJzVDkOtSEilb,spotify:track:5og4Qzt92jJzVDkOtSEilb,0.384,0.521,0.72,0.0,0.135,-7.684,0.104,79.943,0.438,78,340428
37,Fresh Out The Slammer,The Tortured Poets Department,2024-04-18,7,3fO566xJgwxIa3qGCGBvIC,spotify:track:3fO566xJgwxIa3qGCGBvIC,0.624,0.33,0.483,0.0,0.111,-9.394,0.0399,87.115,0.34,69,210789
38,Florida!!! (feat. Florence + The Machine),The Tortured Poets Department,2024-04-18,8,3ZVFcD8Wlw9T9klGqmJf9F,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,0.178,0.533,0.573,0.0,0.309,-7.123,0.138,150.088,0.398,76,215463
39,Guilty as Sin?,The Tortured Poets Department,2024-04-18,9,0W0iAC1VGlB82PI6elxFYf,spotify:track:0W0iAC1VGlB82PI6elxFYf,0.607,0.626,0.428,0.0,0.0921,-8.374,0.0261,94.95,0.487,82,254365
40,Who’s Afraid of Little Old Me?,The Tortured Poets Department,2024-04-18,10,36t6frENUtCYKuZus6aYDO,spotify:track:36t6frENUtCYKuZus6aYDO,0.315,0.606,0.338,0.0,0.106,-10.555,0.048,119.88,0.238,80,334084
41,I Can Fix Him (No Really I Can),The Tortured Poets Department,2024-04-18,11,2h3MDMf8sd9s4XIzpTBIjX,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,0.768,0.661,0.257,1.72e-06,0.176,-13.961,0.045,106.896,0.318,67,156297
42,loml,The Tortured Poets Department,2024-04-18,12,6RSG1dKPV5gEvILwJb4QtS,spotify:track:6RSG1dKPV5gEvILwJb4QtS,0.858,0.423,0.272,0.0,0.108,-12.56,0.0489,78.539,0.195,75,277156
43,I Can Do It With a Broken Heart,The Tortured Poets Department,2024-04-18,13,4q5YezDOIPcoLr8R81x9qy,spotify:track:4q5YezDOIPcoLr8R81x9qy,0.123,0.701,0.751,0.0,0.15,-8.39,0.0502,129.994,0.22,88,218004
44,The Smallest Man Who Ever Lived,The Tortured Poets Department,2024-04-18,14,2v1ivOOsgn64g5OywuH55L,spotify:track:2v1ivOOsgn64g5OywuH55L,0.52,0.426,0.41,0.0,0.338,-9.083,0.0581,142.377,0.263,74,245541
45,The Alchemy,The Tortured Poets Department,2024-04-18,15,1dhMTsEZz6ZEquGvmzVoHn,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,0.422,0.64,0.421,0.0,0.103,-8.802,0.0273,100.056,0.353,73,196900
46,Clara Bow,The Tortured Poets Department,2024-04-18,16,1UlhrRvYzbHEyugEDspXUB,spotify:track:1UlhrRvYzbHEyugEDspXUB,0.636,0.686,0.318,0.00144,0.106,-11.046,0.0263,104.088,0.214,67,216662
69,Welcome To New York (Taylor's Version),1989 (Taylor's Version),2023-10-26,1,1hR8BSuEqPCCZfv93zzzz9,spotify:track:1hR8BSuEqPCCZfv93zzzz9,0.00661,0.76,0.602,0.000133,0.325,-4.871,0.0316,116.989,0.685,71,212600
70,Blank Space (Taylor's Version),1989 (Taylor's Version),2023-10-26,2,45wMBGri1PORPjM9PwFfrS,spotify:track:45wMBGri1PORPjM9PwFfrS,0.0901,0.732,0.719,0.0,0.331,-5.469,0.0645,96.035,0.71,80,231833
71,Style (Taylor's Version),1989 (Taylor's Version),2023-10-26,3,1hjRhYpWyqDpPahmSlUTlc,spotify:track:1hjRhYpWyqDpPahmSlUTlc,0.000456,0.514,0.821,0.0232,0.0946,-4.803,0.0444,94.884,0.298,79,231000
72,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),2023-10-26,4,045ZeOHPIzhxxsm8bq5kyE,spotify:track:045ZeOHPIzhxxsm8bq5kyE,0.000466,0.544,0.884,0.000134,0.381,-5.973,0.0383,91.981,0.184,73,235800
73,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),2023-10-26,5,6GXgd1BPD9bUpqw5AntGV5,spotify:track:6GXgd1BPD9bUpqw5AntGV5,0.000778,0.589,0.713,0.0,0.188,-5.614,0.0308,97.069,0.54,69,193289
74,Shake It Off (Taylor's Version),1989 (Taylor's Version),2023-10-26,6,3pv7Q5v2dpdefwdWIvE7yH,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,0.0112,0.632,0.805,2.51e-05,0.156,-5.707,0.069,160.052,0.903,75,219209
75,I Wish You Would (Taylor's Version),1989 (Taylor's Version),2023-10-26,7,43y1WpBdnEy5TR9aZoSQL9,spotify:track:43y1WpBdnEy5TR9aZoSQL9,0.00388,0.671,0.853,9.48e-06,0.0812,-6.568,0.0417,118.032,0.523,68,207650
76,Bad Blood (Taylor's Version),1989 (Taylor's Version),2023-10-26,8,64FzgoLZ3oXu2SriZblHic,spotify:track:64FzgoLZ3oXu2SriZblHic,0.0369,0.624,0.711,3.13e-06,0.19,-6.347,0.159,169.999,0.347,71,211103
77,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),2023-10-26,9,1K39ty6o1sHwwlZwO6a7wK,spotify:track:1K39ty6o1sHwwlZwO6a7wK,0.0348,0.587,0.663,9.95e-05,0.0971,-7.439,0.0598,139.993,0.539,77,220433
78,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),2023-10-26,10,75W3SngKzTuoQ94uLf3y82,spotify:track:75W3SngKzTuoQ94uLf3y82,0.00198,0.761,0.67,1.08e-05,0.0873,-5.956,0.0537,120.014,0.519,67,247533
79,This Love (Taylor’s Version),1989 (Taylor's Version),2023-10-26,11,5QVVjX0ZItqlVpEuVCM9Yg,spotify:track:5QVVjX0ZItqlVpEuVCM9Yg,0.302,0.47,0.494,0.0,0.0672,-8.672,0.0349,144.039,0.0524,67,250100
80,I Know Places (Taylor's Version),1989 (Taylor's Version),2023-10-26,12,2f0GI2ZLUtbGqFx8t2Gk6A,spotify:track:2f0GI2ZLUtbGqFx8t2Gk6A,0.0846,0.572,0.807,0.0,0.071,-5.348,0.0574,160.015,0.626,66,195700
81,Clean (Taylor's Version),1989 (Taylor's Version),2023-10-26,13,2ByBBvpR9b7IynvRmnG7kG,spotify:track:2ByBBvpR9b7IynvRmnG7kG,0.297,0.782,0.379,2.98e-05,0.103,-8.964,0.0303,103.99,0.267,70,271000
82,Wonderland (Taylor's Version),1989 (Taylor's Version),2023-10-26,14,2ve0kuaWUCt4Zx8x4bf1MR,spotify:track:2ve0kuaWUCt4Zx8x4bf1MR,0.0105,0.387,0.703,1.1e-05,0.128,-5.956,0.0545,123.18,0.32,67,245566
83,You Are In Love (Taylor's Version),1989 (Taylor's Version),2023-10-26,15,4UwqOWDpdeIDVQDuKT6iza,spotify:track:4UwqOWDpdeIDVQDuKT6iza,0.572,0.554,0.509,2.08e-06,0.113,-9.403,0.0455,85.079,0.401,69,267389
84,New Romantics (Taylor's Version),1989 (Taylor's Version),2023-10-26,16,2vPMoMDXxu9uX1igWZmXSG,spotify:track:2vPMoMDXxu9uX1igWZmXSG,0.00516,0.653,0.848,4.24e-06,0.0798,-5.936,0.0583,122.017,0.724,74,230177
85,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),2023-10-26,17,71BqAINEnezjQfxE4VuJfq,spotify:track:71BqAINEnezjQfxE4VuJfq,0.33,0.621,0.415,0.000112,0.0634,-13.187,0.0543,77.978,0.313,77,180381
86,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,18,4NioO5R9sHEZh4cGzMHyNt,spotify:track:4NioO5R9sHEZh4cGzMHyNt,0.0684,0.632,0.539,5.82e-06,0.132,-8.375,0.0342,109.962,0.186,73,279833
87,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,19,5KD6AEm19QnMbfWpfoOHMl,spotify:track:5KD6AEm19QnMbfWpfoOHMl,0.16,0.8,0.509,3.05e-05,0.0834,-9.386,0.034,109.994,0.0768,77,146436
88,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,20,6T0sEnqjmHISIKwFETeeiP,spotify:track:6T0sEnqjmHISIKwFETeeiP,0.212,0.695,0.607,0.0,0.102,-8.84,0.0357,118.043,0.394,68,171818
89,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,21,1Iq8oo9XkmmvCQiGOfORiz,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,0.0486,0.599,0.651,0.0,0.126,-7.343,0.035,100.001,0.153,78,229477
90,Mine (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,1,7G0gBu6nLdhFDPRLc0HdDG,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,0.00314,0.647,0.793,1.93e-06,0.174,-2.903,0.0363,121.101,0.5,74,231706
91,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,2,3MytWN8L7shNYzGl4tAKRp,spotify:track:3MytWN8L7shNYzGl4tAKRp,0.0241,0.605,0.769,0.0,0.0936,-2.413,0.032,114.921,0.366,72,261230
92,Back To December (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,3,79uDOz0zuuWS7HWxzMmTa2,spotify:track:79uDOz0zuuWS7HWxzMmTa2,0.00705,0.486,0.635,0.0,0.119,-3.994,0.0278,141.868,0.235,74,294189
93,Speak Now (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,4,5xXqyjLicvEpch72qEryFT,spotify:track:5xXqyjLicvEpch72qEryFT,0.225,0.734,0.686,0.0,0.136,-2.926,0.0349,119.002,0.598,69,242473
94,Dear John (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,5,1zU8j1x3yi9xalMF96pzKp,spotify:track:1zU8j1x3yi9xalMF96pzKp,0.0327,0.379,0.468,0.0,0.158,-5.07,0.0298,119.447,0.115,69,405906
95,Mean (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,6,30Y4CV7A6YqtQtTTo7Ue4j,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,0.321,0.526,0.7,0.0,0.213,-3.95,0.0392,163.949,0.596,69,238693
96,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,7,6dTA6y0C2ReQklntzZl8l3,spotify:track:6dTA6y0C2ReQklntzZl8l3,0.00136,0.516,0.784,0.0,0.0499,-2.636,0.0563,139.787,0.552,70,267653
97,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,8,2EFZ9emtKWEglWUQGEQ3P9,spotify:track:2EFZ9emtKWEglWUQGEQ3P9,0.867,0.684,0.339,0.0,0.194,-7.259,0.029,125.054,0.572,65,292920
98,Enchanted (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,9,3sW3oSbzsfecv9XoUdGs7h,spotify:track:3sW3oSbzsfecv9XoUdGs7h,0.016,0.52,0.553,0.0,0.165,-3.546,0.0269,81.949,0.227,80,353253
99,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,10,0NwGC0v03ysCYINtg6ns58,spotify:track:0NwGC0v03ysCYINtg6ns58,0.000795,0.505,0.893,0.0,0.178,-3.013,0.0771,145.913,0.659,71,220306
100,Innocent (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,11,12nBPF4Rh4XLFJV0YLN7uj,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,0.0972,0.524,0.611,0.0,0.127,-5.298,0.0297,133.583,0.126,63,301221
101,Haunted (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,12,4tMzIAFTFdqGBQLdfbPces,spotify:track:4tMzIAFTFdqGBQLdfbPces,0.00552,0.44,0.916,0.0,0.252,-1.927,0.0629,162.025,0.371,69,245413
102,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,13,59KOoHFcw5XfICnO57holu,spotify:track:59KOoHFcw5XfICnO57holu,0.443,0.557,0.362,3.57e-06,0.1,-8.641,0.0263,79.573,0.187,69,369120
103,Long Live (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,14,4hqJ4bSlYJOXb6Z4SRmzxs,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,0.0162,0.38,0.628,0.0,0.227,-4.054,0.038,203.826,0.0984,73,317960
104,Ours (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,15,3yNJkriPzWjkkDAWHIAVUq,spotify:track:3yNJkriPzWjkkDAWHIAVUq,0.42,0.539,0.475,0.0,0.109,-8.411,0.0287,159.824,0.293,66,235803
105,Superman (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,16,4evLyY5Ue1Wesc61t2KXAU,spotify:track:4evLyY5Ue1Wesc61t2KXAU,0.00207,0.537,0.733,0.0,0.11,-3.506,0.0302,131.898,0.347,62,274945
106,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,17,4e3ZNTAV6PCrdYMUrUlMpQ,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,0.018,0.547,0.854,0.0,0.156,-4.753,0.0526,131.068,0.26,68,266466
107,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,18,0zo975x58DlXbZllWvfYhg,spotify:track:0zo975x58DlXbZllWvfYhg,0.168,0.524,0.759,0.0,0.104,-4.714,0.0471,77.879,0.234,66,252385
108,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,19,5kHMfzgLZP95O9NBy0ku4v,spotify:track:5kHMfzgLZP95O9NBy0ku4v,0.0577,0.695,0.768,0.0,0.0426,-4.883,0.0344,123.054,0.813,75,273186
109,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,20,4ABYxlb92WBIjHu7TIKmml,spotify:track:4ABYxlb92WBIjHu7TIKmml,0.342,0.578,0.565,0.0,0.0662,-8.064,0.0441,147.781,0.351,67,306062
110,Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,21,4s8BIKx4Zh6ryAEz8RTlaU,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,0.599,0.672,0.613,0.0,0.112,-4.709,0.0298,97.041,0.557,68,311765
111,Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,22,1HCdems7PQZRj42QDWLA0A,spotify:track:1HCdems7PQZRj42QDWLA0A,0.332,0.629,0.578,0.0,0.0868,-5.806,0.0319,142.887,0.651,69,321396
155,Lavender Haze,Midnights,2022-10-21,1,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,77,202395
156,Maroon,Midnights,2022-10-21,2,3eX0NZfLtGzoLUxPNvRfqm,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0634,0.655,0.384,1.45e-06,0.0973,-8.29,0.0349,108.058,0.0384,72,218270
157,Anti-Hero,Midnights,2022-10-21,3,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,85,200690
158,Snow On The Beach (feat. Lana Del Rey),Midnights,2022-10-21,4,1wtOxkiel43cVs0Yux5Q4h,spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,69,256124
159,"You're On Your Own, Kid",Midnights,2022-10-21,5,4D7BCuvgdJlYvlX5WlN54t,spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.447,0.696,0.39,1.55e-05,0.125,-10.331,0.0616,120.032,0.395,77,194206
160,Midnight Rain,Midnights,2022-10-21,6,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.71,0.604,0.375,5.87e-05,0.116,-11.637,0.0633,137.651,0.203,76,174782
161,Question...?,Midnights,2022-10-21,7,0heeNYlwOGuUSe7TgUD27B,spotify:track:0heeNYlwOGuUSe7TgUD27B,0.206,0.654,0.51,0.0,0.249,-8.767,0.242,108.874,0.105,66,210556
162,Vigilante Shit,Midnights,2022-10-21,8,1xwAWUI6Dj0WGC3KiUPN0O,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.166,0.872,0.267,2.18e-05,0.123,-10.764,0.387,79.964,0.168,74,164801
163,Bejeweled,Midnights,2022-10-21,9,3qoftcUZaUOncvIYjFSPdE,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,77,194165
164,Labyrinth,Midnights,2022-10-21,10,0A1JLUlkZkp2EFrosoNQi0,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,70,247962
165,Karma,Midnights,2022-10-21,11,7KokYm8cMIXCsGVmUvKtqf,spotify:track:7KokYm8cMIXCsGVmUvKtqf,0.062,0.64,0.619,0.0,0.475,-7.108,0.065,90.008,0.121,80,204852
166,Sweet Nothing,Midnights,2022-10-21,12,0wavGRldH0AWyu2zvTz8zb,spotify:track:0wavGRldH0AWyu2zvTz8zb,0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,69,188496
